Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,features.0,13.5,86704128,0.3101851851851852,0.2968852763273278,25088.0
2,features.4,576.0,924844032,0.3622368706597222,0.03906312280771684,12544.0
3,features.8,2304.0,924844032,0.10923258463541667,0.03906623684630102,6272.0
4,features.11,4608.0,1849688064,0.07756720648871528,0.0,6272.0
5,features.15,9216.0,924844032,0.05541568332248264,7.473692602040816e-06,3136.0
6,features.18,18432.0,1849688064,0.07389110989040798,2.4912308673469386e-06,3136.0
7,features.22,18432.0,462422016,0.0637101067437066,9.964923469387754e-06,784.0
8,features.25,18432.0,462422016,0.05464596218532986,0.001953125,784.0
9,classifier.0,802816.0,102760448,0.18770119608664998,0.027099609375,32.0
10,classifier.3,131072.0,16777216,0.1150241494178772,0.0126953125,32.0
11,classifier.6,32000.0,4096000,0.04945361328125,0.0,7.8125
